      gap_ignore    theta    maxiter    fast  initialization      em iterations    i0:t0    i0:t1    i1:t0    i1:t1    score
--  ------------  -------  ---------  ------  ----------------  ---------------  -------  -------  -------  -------  -------
15             1      0.8         20       0  random                         10       95      951      905       49    0.732
14             1      0.8         20       0  kmeans                          8      905       52       95      948    0.727
17             1      2            2       1  random                         30      926       74       74      926    0.726
16             1      2            2       1  kmeans                         15      918       73       82      927    0.714
48             0      2            2       1  kmeans                         29      921       89       79      911    0.692
11             1      0.8         10       0  random                         18       57      875      943      125    0.669
43             0      0.8         10       0  random                         12      897       79      103      921    0.669
10             1      0.8         10       0  kmeans                          4      928      113       72      887    0.664
38             0      0.8          5       0  kmeans                         22      887       86      113      914    0.641
39             0      0.8          5       0  random                         22      113      914      887       86    0.641
42             0      0.8         10       0  kmeans                         10      844       45      156      955    0.638
35             0      0.8          2       0  random                         11      887       89      113      911    0.636
20             1      2            5       1  kmeans                         24      155      943      845       57    0.621
 3             1      0.8          2       0  random                         10      871       84      129      916    0.619
 7             1      0.8          5       0  random                         12      927      147       73      853    0.608
 6             1      0.8          5       0  kmeans                          7      161      937      839       63    0.602
47             0      0.8         20       0  random                          9      204      980      796       20    0.602
 0             1      0.8          2       1  kmeans                         30      843       69      157      931    0.599
46             0      0.8         20       0  kmeans                          7      212      983      788       17    0.594
36             0      0.8          5       1  kmeans                         30      180      948      820       52    0.589
40             0      0.8         10       1  kmeans                         30      173      937      827       63    0.583
44             0      0.8         20       1  kmeans                         30      185      949      815       51    0.583
34             0      0.8          2       0  kmeans                          8      183      946      817       54    0.582
32             0      0.8          2       1  kmeans                         30      179      941      821       59    0.58
 2             1      0.8          2       0  kmeans                         13      812       51      188      949    0.579
 8             1      0.8         10       1  kmeans                         30      816       59      184      941    0.573
 4             1      0.8          5       1  kmeans                         30      186      943      814       57    0.573
52             0      2            5       1  kmeans                          8      203      956      797       44    0.567
12             1      0.8         20       1  kmeans                         30      816       70      184      930    0.556
62             0      2           20       0  kmeans                          1      226      952      774       48    0.527
18             1      2            2       0  kmeans                          2      224      949      776       51    0.525
28             1      2           20       1  kmeans                          1      776       52      224      948    0.524
56             0      2           10       1  kmeans                          1      225      949      775       51    0.524
50             0      2            2       0  kmeans                          2      773       49      227      951    0.524
54             0      2            5       0  kmeans                          1      771       48      229      952    0.522
26             1      2           10       0  kmeans                          1      231      953      769       47    0.521
30             1      2           20       0  kmeans                          1      773       51      227      949    0.521
22             1      2            5       0  kmeans                          1      228      949      772       51    0.519
60             0      2           20       1  kmeans                          1      765       46      235      954    0.516
58             0      2           10       0  kmeans                          1      235      953      765       47    0.515
24             1      2           10       1  kmeans                          2      238      955      762       45    0.514
45             0      0.8         20       1  random                         30      829      150      171      850    0.461
37             0      0.8          5       1  random                         30      858      192      142      808    0.443
41             0      0.8         10       1  random                         30      829      186      171      814    0.413
 9             1      0.8         10       1  random                         30      160      775      840      225    0.378
33             0      0.8          2       1  random                         30      206      722      794      278    0.266
 5             1      0.8          5       1  random                         30      737      299      263      701    0.191
13             1      0.8         20       1  random                         30      610      363      390      637    0.06
 1             1      0.8          2       1  random                         30      626      436      374      564    0.035
29             1      2           20       1  random                          2      527      473      473      527    0.002
23             1      2            5       0  random                          2      512      487      488      513   -0
51             0      2            2       0  random                          5      489      508      511      492   -0.001
21             1      2            5       1  random                         30      450      457      550      543   -0.001
53             0      2            5       1  random                         30      408      404      592      596   -0.001
49             0      2            2       1  random                         30      973      977       27       23   -0.001
55             0      2            5       0  random                          2      489      510      511      490   -0.001
19             1      2            2       0  random                          6      512      499      488      501   -0.001
57             0      2           10       1  random                          7      502      496      498      504   -0.001
31             1      2           20       0  random                          2      494      506      506      494   -0.001
59             0      2           10       0  random                          2      497      503      503      497   -0.001
25             1      2           10       1  random                          4      501      501      499      499   -0.001
61             0      2           20       1  random                          2      489      511      511      489   -0.001
27             1      2           10       0  random                          2      510      490      490      510   -0.001
63             0      2           20       0  random                          2      499      501      501      499   -0.001
