      gap_ignore    theta    maxiter    fast  initialization      em iterations    i0:t0    i0:t1    i1:t0    i1:t1    score
--  ------------  -------  ---------  ------  ----------------  ---------------  -------  -------  -------  -------  -------
49             0      2            2       1  random                         21       80      957      920       43    0.769
43             0      0.8         10       0  random                          9      109      984      891       16    0.765
14             1      0.8         20       0  kmeans                          7      882       18      118      982    0.746
16             1      2            2       1  kmeans                         11      112      974      888       26    0.743
42             0      0.8         10       0  kmeans                          6      122      981      878       19    0.738
48             0      2            2       1  kmeans                          7      875       23      125      977    0.726
20             1      2            5       1  kmeans                         17      879       28      121      972    0.724
10             1      0.8         10       0  kmeans                          5      140      986      860       14    0.715
52             0      2            5       1  kmeans                          9      130      973      870       27    0.71
36             0      0.8          5       1  kmeans                         30      905       62       95      938    0.71
 6             1      0.8          5       0  kmeans                          5      122      958      878       42    0.699
 7             1      0.8          5       0  random                         30      878       42      122      958    0.699
39             0      0.8          5       0  random                         10      879       43      121      957    0.699
38             0      0.8          5       0  kmeans                          5      122      958      878       42    0.699
15             1      0.8         20       0  random                          9      849       15      151      985    0.695
46             0      0.8         20       0  kmeans                          4      148      981      852       19    0.694
32             0      0.8          2       1  kmeans                         30      891       60      109      940    0.69
 8             1      0.8         10       1  kmeans                         30      904       73       96      927    0.69
40             0      0.8         10       1  kmeans                         30      897       66      103      934    0.69
12             1      0.8         20       1  kmeans                         30      106      934      894       66    0.685
35             0      0.8          2       0  random                         12      145      972      855       28    0.684
47             0      0.8         20       0  random                          9      155      980      845       20    0.68
44             0      0.8         20       1  kmeans                         30      110      932      890       68    0.675
34             0      0.8          2       0  kmeans                          6      849       28      151      972    0.674
 0             1      0.8          2       1  kmeans                         30      894       78      106      922    0.666
 4             1      0.8          5       1  kmeans                         30      106      922      894       78    0.666
 2             1      0.8          2       0  kmeans                          6      156      972      844       28    0.666
 3             1      0.8          2       0  random                         12      159      972      841       28    0.661
18             1      2            2       0  kmeans                          3      834       26      166      974    0.653
24             1      2           10       1  kmeans                          2      837       29      163      971    0.653
50             0      2            2       0  kmeans                          3      167      974      833       26    0.651
56             0      2           10       1  kmeans                          3      832       27      168      973    0.648
30             1      2           20       0  kmeans                          1      166      971      834       29    0.648
22             1      2            5       0  kmeans                          2      832       28      168      972    0.646
28             1      2           20       1  kmeans                          2      166      970      834       30    0.646
60             0      2           20       1  kmeans                          2      167      970      833       30    0.644
41             0      0.8         10       1  random                         30      905      104       95      896    0.641
26             1      2           10       0  kmeans                          2      171      971      829       29    0.64
58             0      2           10       0  kmeans                          1      172      971      828       29    0.638
54             0      2            5       0  kmeans                          2      172      971      828       29    0.638
62             0      2           20       0  kmeans                          1      826       28      174      972    0.636
 9             1      0.8         10       1  random                         30       90      876      910      124    0.617
37             0      0.8          5       1  random                         30      879      102      121      898    0.603
45             0      0.8         20       1  random                         30      885      115      115      885    0.592
 5             1      0.8          5       1  random                         30      131      873      869      127    0.55
 1             1      0.8          2       1  random                         30      877      141      123      859    0.541
13             1      0.8         20       1  random                         30      880      145      120      855    0.54
11             1      0.8         10       0  random                         18      691        5      309      995    0.47
33             0      0.8          2       1  random                         30      376      525      624      475    0.021
21             1      2            5       1  random                         30      179      257      821      743    0.005
61             0      2           20       1  random                          2      478      522      522      478    0.001
25             1      2           10       1  random                         10      489      514      511      486   -0
51             0      2            2       0  random                          2      499      499      501      501   -0.001
53             0      2            5       1  random                         30      285      272      715      728   -0.001
17             1      2            2       1  random                         30      972      978       28       22   -0.001
55             0      2            5       0  random                          2      504      496      496      504   -0.001
19             1      2            2       0  random                          4      497      490      503      510   -0.001
57             0      2           10       1  random                          4      504      496      496      504   -0.001
23             1      2            5       0  random                          2      492      508      508      492   -0.001
59             0      2           10       0  random                          2      491      509      509      491   -0.001
31             1      2           20       0  random                          2      499      501      501      499   -0.001
29             1      2           20       1  random                          2      499      502      501      498   -0.001
27             1      2           10       0  random                          2      496      504      504      496   -0.001
63             0      2           20       0  random                          2      502      498      498      502   -0.001
