      gap_ignore    theta    maxiter    fast  initialization      em iterations    i0:t0    i0:t1    i1:t0    i1:t1    score
--  ------------  -------  ---------  ------  ----------------  ---------------  -------  -------  -------  -------  -------
24             0      2            2       1  random                          7        0    17920    11658        0    1
 8             1      2            2       1  random                          5    11658        0        0    17920    1
10             1      2            5       1  random                          9    11658        0        0    17920    1
26             0      2            5       1  random                         14        0    17700    11658      220    0.972
 9             1      2            2       0  random                         30       87    17139    11571      781    0.891
25             0      2            2       0  random                         27    11658     1515        0    16405    0.814
 7             1      0.8         20       0  random                         30     1233    13220    10425     4700    0.386
12             1      2           10       1  random                         30     1289    12165    10369     5755    0.305
 3             1      0.8          5       0  random                         30     5884     4671     5774    13249    0.125
20             0      0.8         10       1  random                         30     4391    10876     7267     7044    0.092
23             0      0.8         20       0  random                         30     3597     9515     8061     8405    0.077
11             1      2            5       0  random                         28     4402    10032     7256     7888    0.07
 5             1      0.8         10       0  random                         26     5153    10645     6505     7275    0.067
27             0      2            5       0  random                         26     5115    10237     6543     7683    0.06
28             0      2           10       1  random                         30     4305     9378     7353     8542    0.059
 2             1      0.8          5       1  random                         30     6962     8511     4696     9409    0.054
 4             1      0.8         10       1  random                         30     5274     9911     6384     8009    0.053
21             0      0.8         10       0  random                         23     6198    10529     5460     7391    0.049
22             0      0.8         20       1  random                         30     5854     8167     5804     9753    0.046
14             1      2           20       1  random                         30     6179     8417     5479     9503    0.046
30             0      2           20       1  random                         30     6015     8467     5643     9453    0.045
17             0      0.8          2       0  random                         24     5480     7964     6178     9956    0.045
 0             1      0.8          2       1  random                         30     4615     8222     7043     9698    0.044
19             0      0.8          5       0  random                         30    10068    12601     1590     5319    0.044
18             0      0.8          5       1  random                         30     6274     8966     5384     8954    0.044
29             0      2           10       0  random                         26     6115     8636     5543     9284    0.044
13             1      2           10       0  random                         19     5539     9090     6119     8830    0.044
16             0      0.8          2       1  random                         30     6025     9029     5633     8891    0.043
 1             1      0.8          2       0  random                         30     5969     8752     5689     9168    0.043
15             1      2           20       0  random                         24     5681     8546     5977     9374    0.043
 6             1      0.8         20       1  random                         30     6169     9162     5489     8758    0.043
31             0      2           20       0  random                         24     5762     9186     5896     8734    0.043
