,Tax,lpxC RepID,murA RepID,score,prob,full_id
0,gamma proteobacterium HTCC5015 TaxID=391615,B5JXG0_9GAMM,B5JSM5_9GAMM,0.8216164382174611,1.0,UniRef100_UPI00140C750F/1-418_UniRef100_UPI0014098E1F/1-300
1,Marinobacter nanhaiticus D15-8W TaxID=626887,N6W2T7_9ALTE,N6WX21_9ALTE,0.7981052026152611,1.0,UniRef100_UPI00041214E9/1-418_UniRef100_UPI0004A2F497/1-300
2,Oceanospirillaceae TaxID=135620,A0A558NIP3_9GAMM,A0A2E0K8X7_9GAMM,0.7961830629501492,1.0,UniRef100_UPI001603E4B1/1-418_UniRef100_UPI0015FFC963/1-300
3,Phaeospirillum molischianum DSM 120 TaxID=1150626,H8FMP7_PHAMO,H8FNR8_PHAMO,0.7899174438789487,1.0,UniRef100_A0A1H6JJN5/1-426_UniRef100_UPI0012DD7BC5/37-320
4,Phaeospirillum fulvum TaxID=1082,UPI0012DD7BC5,A0A1H6JJN5_PHAFV,0.7899174438789487,1.0,UniRef100_A0A364NV84/1-426_UniRef100_A0A364P1K5/18-303
5,Magnetospirillum kuznetsovii TaxID=2053833,A0A364P1K5_9PROT,A0A364NV84_9PROT,0.7899174438789487,1.0,UniRef100_S9SCN9/1-426_UniRef100_S9S8T7/26-309
6,Phaeospirillum fulvum MGU-K5 TaxID=1316936,S9S8T7_PHAFV,S9SCN9_PHAFV,0.7899174438789487,1.0,UniRef100_UPI000BBBDC62/1-426_UniRef100_UPI000BBB9E90/2-287
7,Oceanospirillaceae bacterium TaxID=1899355,A0A2E0A3M6_9GAMM,A0A2D5PG33_9GAMM,0.7889429444912821,1.0,UniRef100_A0A6N6TB06/1-416_UniRef100_A0A6N6TCX1/1-299
8,Candidatus Contendobacter sp. TaxID=2651161,A0A6N6TCX1_9GAMM,A0A6N6TB06_9GAMM,0.7850479730404913,1.0,UniRef100_A0A2T1K725/1-418_UniRef100_A0A2T1KK07/1-300
9,Marinobacter fuscus TaxID=2109942,A0A2T1KK07_9ALTE,A0A2T1K725_9ALTE,0.7831796081736684,1.0,UniRef100_UPI000DAE45E8/1-418_UniRef100_UPI000DAC7D21/1-300
10,Marinobacter profundi TaxID=2666256,A0A2G1UKJ1_9ALTE,A0A2G1UIU9_9ALTE,0.7831796081736684,1.0,UniRef100_UPI0011E801A7/1-418_UniRef100_UPI0011E7314D/1-300
11,Marinobacter sp. 34-60-7 TaxID=1970395,A0A259M8P4_9ALTE,A0A259LWX8_9ALTE,0.7831796081736684,1.0,UniRef100_UPI001264B8FF/1-418_UniRef100_UPI0012644738/1-300
12,Thiohalobacter thiocyanaticus TaxID=585455,A0A426QLG8_9GAMM,A0A1Z4VP90_9GAMM,0.7741098571568727,1.0,UniRef100_A0A7C1QHT4/1-419_UniRef100_A0A7C1LBM7/1-300
13,root TaxID=1,A0A7C1LBM7_9PSED,A0A7C1QHT4_9PSED,0.7721789618954062,1.0,UniRef100_M2Y496/1-426_UniRef100_M3A8V3/19-291
14,Magnetospirillum caucaseum TaxID=1244869,M3A8V3_9PROT,M2Y496_9PROT,0.7671924065798521,1.0,UniRef100_A0A178MD62/1-426_UniRef100_A0A178MUC1/2-288
15,Magnetospirillum marisnigri TaxID=1285242,A0A178MUC1_9PROT,A0A178MD62_9PROT,0.7671924065798521,1.0,UniRef100_A0A3B1BZ19/12-428_UniRef100_A0A3B0ZC60/1-298
16,hydrothermal vent metagenome TaxID=652676,A0A3B0ZC60_9ZZZZ,A0A3B1BZ19_9ZZZZ,0.767168553546071,1.0,UniRef100_A0A1W6CSF1/1-426_UniRef100_A0A1W6CTK5/2-287
17,Magnetospirillum sp. ME-1 TaxID=1639348,A0A1W6CTK5_9PROT,A0A1W6CSF1_9PROT,0.7645498148631305,1.0,UniRef100_A0A0U5MDS4/1-426_UniRef100_UPI0009E6DD5B/59-345
18,Magnetospirillum sp. XM-1 TaxID=1663591,UPI0009E6DD5B,A0A0U5MDS4_9PROT,0.7645498148631305,1.0,UniRef100_A0A0C2YZJ0/1-426_UniRef100_A0A0C2YAM9/21-306
19,Magnetospirillum magnetotacticum MS-1 TaxID=272627,A0A0C2YAM9_MAGMG,A0A0C2YZJ0_MAGMG,0.7645498148631305,1.0,UniRef100_A0A2N2AJD2/1-417_UniRef100_A0A2N2AJG2/1-300
